DATE,LOCAL.TIME..SENSOR.,COUNTLINENAME,DIRECTION,CAR,PEDESTRIAN,CYCLIST,MOTORBIKE,BUS,OGV1,OGV2,LGV,DAY
2021-05-27T00:00:00Z,2021-05-27T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,1,98,2,2,0,0,0,0,Thu
2021-05-27T00:00:00Z,2021-05-27T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,1,386,18,0,0,0,0,0,Thu
2021-05-27T00:00:00Z,2021-05-27T01:00:00Z,LBS15_ButterHill_Road_S53,in,2096,60,122,55,7,5,0,462,Thu
2021-05-27T00:00:00Z,2021-05-27T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,1,210,18,1,0,0,0,0,Thu
2021-05-27T00:00:00Z,2021-05-27T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,160,3,0,0,0,0,0,Thu
2021-05-27T00:00:00Z,2021-05-27T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,332,7,0,0,0,0,0,Thu
2021-05-27T00:00:00Z,2021-05-27T01:00:00Z,LBS15_ButterHill_Road_S53,out,2002,21,102,63,14,6,0,309,Thu
2021-05-28T00:00:00Z,2021-05-28T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,3,203,18,0,0,0,0,0,Fri
2021-05-28T00:00:00Z,2021-05-28T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,6,114,5,1,0,1,0,0,Fri
2021-05-28T00:00:00Z,2021-05-28T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,2,364,16,1,0,0,0,1,Fri
2021-05-28T00:00:00Z,2021-05-28T01:00:00Z,LBS15_ButterHill_Road_S53,in,2420,55,107,78,9,9,0,490,Fri
2021-05-28T00:00:00Z,2021-05-28T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,1,193,17,1,0,0,0,0,Fri
2021-05-28T00:00:00Z,2021-05-28T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,147,3,0,0,0,0,0,Fri
2021-05-28T00:00:00Z,2021-05-28T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,316,5,1,0,0,0,0,Fri
2021-05-28T00:00:00Z,2021-05-28T01:00:00Z,LBS15_ButterHill_Road_S53,out,2201,21,95,64,14,4,2,304,Fri
2021-05-29T00:00:00Z,2021-05-29T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,1,159,17,0,0,0,0,2,Sat
